Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
FROGNAL,FROGNAL AND FITZJOHNS,NW3,35/18,60,526221,184988,-0.18096,51.549676,Plotted By Council Officer,"(51.549676, -0.18096)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
ANTRIM ROAD,BELSIZE,NW3,35/18,60,527514,184805,-0.162389,51.547741,Plotted By Council Officer,"(51.547741, -0.162389)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
NORTH VILLAS,CANTELOWES,NW1,35/18,90,529691,184668,-0.13106,51.546014,Plotted By Council Officer,"(51.546014, -0.13106)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
SOUTHAMPTON ROAD,HAVERSTOCK,NW5,35/18,90,527917,185055,-0.156489,51.549897,Plotted By Council Officer,"(51.549897, -0.156489)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,526881,184314,-0.17169,51.543471,Plotted By Council Officer,"(51.543471, -0.17169)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
ROCHESTER PLACE,CANTELOWES,NW1,35/18,45,529041,184516,-0.140485,51.544797,Plotted By Council Officer,"(51.544797, -0.140485)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
CASTLE PLACE,CAMDEN TOWN,NW5,35/18,21,528917,184532,-0.142266,51.544969,Plotted By Council Officer,"(51.544969, -0.142266)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
BROXWOOD WAY,SWISS COTTAGE,NW8,35/18,61,527470,183553,-0.163476,51.536499,Plotted By Council Officer,"(51.536499, -0.163476)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
ABBEY ROAD,WEST HAMPSTEAD,NW8,70/35,65,525658,183986,-0.189434,51.540796,Plotted By Council Officer,"(51.540796, -0.189434)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
PILGRIM'S LANE,HAMPSTEAD TOWN,NW3,35/18,60,526841,185654,-0.171783,51.555522,Plotted By Council Officer,"(51.555522, -0.171783)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
ST PAUL'S CRESCENT,CANTELOWES,NW1,35/18,90,529914,184528,-0.127898,51.544705,Plotted By Council Officer,"(51.544705, -0.127898)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
BEDFORD SQUARE,BLOOMSBURY,WC1,70/35,150,529775,181662,-0.130957,51.51898,Plotted By Council Officer,"(51.51898, -0.130957)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
PARK VILLAGE EAST,REGENT'S PARK,NW1,35/18,90,528792,183404,-0.14448,51.53486,Plotted By Council Officer,"(51.53486, -0.14448)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
HUNTER STREET,BLOOMSBURY,WC1,35/18,90,530318,182327,-0.122889,51.524832,Plotted By Council Officer,"(51.524832, -0.122889)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
HARMOOD STREET,HAVERSTOCK,NW1,35/18,90,528584,184434,-0.147101,51.544164,Plotted By Council Officer,"(51.544164, -0.147101)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
KINGSGATE ROAD,KILBURN,NW6,35/18,61,525216,184227,-0.195718,51.543061,Plotted By Council Officer,"(51.543061, -0.195718)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
SOUTH HILL PARK,HAMPSTEAD TOWN,NW3,35/18,60,527283,185707,-0.165392,51.555899,Plotted By Council Officer,"(51.555899, -0.165392)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
DOUGHTY STREET,HOLBORN AND COVENT GARDEN,WC1,70/35,90,530791,182130,-0.116148,51.522952,Plotted By Council Officer,"(51.522952, -0.116148)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
LEVERTON STREET,KENTISH TOWN,NW5,35/18,60,529063,185204,-0.139915,51.550975,Plotted By Council Officer,"(51.550975, -0.139915)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
BLOOMSBURY SQUARE,HOLBORN AND COVENT GARDEN,WC1,70/35,60,530361,181714,-0.122497,51.519313,Plotted By Council Officer,"(51.519313, -0.122497)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
GREAT RUSSELL STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530067,181553,-0.126791,51.517934,Plotted By Council Officer,"(51.517934, -0.126791)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
HEATH STREET,HAMPSTEAD TOWN,NW3,35/18,90,526371,185663,-0.178556,51.555709,Plotted By Council Officer,"(51.555709, -0.178556)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
SARRE ROAD,FORTUNE GREEN,NW2,35/18,60,524735,185201,-0.202306,51.55192,Plotted By Council Officer,"(51.55192, -0.202306)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
ST PANCRAS WAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529389,184057,-0.135638,51.540593,Plotted By Council Officer,"(51.540593, -0.135638)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
BELSIZE LANE,FROGNAL AND FITZJOHNS,NW3,35/18,60,527001,185110,-0.169673,51.550598,Plotted By Council Officer,"(51.550598, -0.169673)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,527061,184357,-0.16908,51.543817,Plotted By Council Officer,"(51.543817, -0.16908)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
HEATH DRIVE,FROGNAL AND FITZJOHNS,NW3,35/18,60,525523,185564,-0.190817,51.555008,Plotted By Council Officer,"(51.555008, -0.190817)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
BILLY FURY WAY,WEST HAMPSTEAD,NW6,35/18,29,525706,184810,-0.188448,51.548191,Plotted By Council Officer,"(51.548191, -0.188448)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
PURCHESE STREET,ST PANCRAS AND SOMERS TOWN,NW1,35/18,60,529799,183152,-0.130062,51.532365,Plotted By Council Officer,"(51.532365, -0.130062)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
GOWER STREET,BLOOMSBURY,WC1,35/18,90,529579,182153,-0.1336,51.523438,Plotted By Council Officer,"(51.523438, -0.1336)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
FROGNAL LANE,FROGNAL AND FITZJOHNS,NW3,35/18,60,525940,185460,-0.184842,51.553981,Plotted By Council Officer,"(51.553981, -0.184842)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
NASSINGTON ROAD,HAMPSTEAD TOWN,NW3,35/18,60,527694,185796,-0.159435,51.556606,Plotted By Council Officer,"(51.556606, -0.159435)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
SHAFTESBURY AVENUE,HOLBORN AND COVENT GARDEN,WC2,35/18,90,530046,181199,-0.127224,51.514757,Plotted By Council Officer,"(51.514757, -0.127224)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
KINGDON ROAD,WEST HAMPSTEAD,NW6,35/18,61,525382,184946,-0.193069,51.549485,Plotted By Council Officer,"(51.549485, -0.193069)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
GOLDHURST TERRACE,SWISS COTTAGE,NW6,35/18,60,526078,184091,-0.183343,51.541647,Plotted By Council Officer,"(51.541647, -0.183343)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
CAMDEN STREET,CAMDEN TOWN,NW1,35/18,140,529080,184049,-0.140094,51.540591,Plotted By Council Officer,"(51.540591, -0.140094)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
ALBERT STREET,REGENT'S PARK,NW1,35/18,60,528994,183342,-0.141592,51.534257,Plotted By Council Officer,"(51.534257, -0.141592)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
TANKERTON STREET,KING'S CROSS,WC1,35/18,60,530362,182681,-0.122125,51.528003,Plotted By Council Officer,"(51.528003, -0.122125)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
BROOKFIELD PARK,HIGHGATE,NW5,35/18,45,528660,186333,-0.145312,51.561213,Plotted By Council Officer,"(51.561213, -0.145312)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
