Street Name,Ward Name,Postcode,Switch Regime,Wattage,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Location,Organisation URI,Last Uploaded
MILL LANE,FORTUNE GREEN,NW6,35/18,65,524803,185110,-0.201358,51.551088,Plotted By Council Officer,"(51.551088, -0.201358)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
KING HENRY'S ROAD,SWISS COTTAGE,NW3,35/18,90,526991,184116,-0.170176,51.541667,Plotted By Council Officer,"(51.541667, -0.170176)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
PRATT STREET,CAMDEN TOWN,NW1,35/18,90,529062,183694,-0.140483,51.537405,Plotted By Council Officer,"(51.537405, -0.140483)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
HOLLY HILL,HAMPSTEAD TOWN,NW3,70/35,125,526343,185793,-0.178913,51.556883,Plotted By Council Officer,"(51.556883, -0.178913)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
THEOBALD'S ROAD,HOLBORN AND COVENT GARDEN,WC1,35/18,90,530787,181882,-0.116298,51.520724,Plotted By Council Officer,"(51.520724, -0.116298)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
LAMBLE STREET,GOSPEL OAK,NW5,35/18,61,528251,185524,-0.151504,51.554036,Plotted By Council Officer,"(51.554036, -0.151504)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
GREENAWAY GARDENS,FROGNAL AND FITZJOHNS,NW3,35/18,60,525872,185466,-0.18582,51.55405,Plotted By Council Officer,"(51.55405, -0.18582)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
REGENT'S PARK ROAD,CAMDEN TOWN,NW1,35/18,104,528123,183777,-0.153985,51.538365,Plotted By Council Officer,"(51.538365, -0.153985)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
CANNON LANE,HAMPSTEAD TOWN,NW3,70/35,125,526633,186150,-0.174604,51.560027,Plotted By Council Officer,"(51.560027, -0.174604)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
ADELAIDE ROAD,HAVERSTOCK,NW3,35/18,90,527813,184373,-0.158236,51.543791,Plotted By Council Officer,"(51.543791, -0.158236)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
JAMESTOWN ROAD,CAMDEN TOWN,NW1,35/18,90,528701,184010,-0.14557,51.540327,Plotted By Council Officer,"(51.540327, -0.14557)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
LOWER MERTON RISE,SWISS COTTAGE,NW3,35/18,60,527280,184116,-0.166011,51.541602,Plotted By Council Officer,"(51.541602, -0.166011)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
LINCOLN'S INN FIELDS,HOLBORN AND COVENT GARDEN,WC1,70/35,60,530893,181355,-0.114967,51.515964,Plotted By Council Officer,"(51.515964, -0.114967)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
WILDWOOD GROVE,HAMPSTEAD TOWN,NW3,35/18,125,526032,187029,-0.182954,51.568061,Plotted By Council Officer,"(51.568061, -0.182954)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
KENTISH TOWN ROAD,CAMDEN TOWN,NW5,35/18,65,528921,183945,-0.142423,51.539693,Plotted By Council Officer,"(51.539693, -0.142423)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
CHALCOT SQUARE,CAMDEN TOWN,NW1,35/18,60,528058,184083,-0.15481,51.541129,Plotted By Council Officer,"(51.541129, -0.15481)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
HAVERSTOCK HILL,HAVERSTOCK,NW3,35/18,90,528021,184526,-0.155182,51.545119,Plotted By Council Officer,"(51.545119, -0.155182)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
PRINCE OF WALES ROAD,HAVERSTOCK,NW5,35/18,159,528624,184695,-0.146429,51.546501,Plotted By Council Officer,"(51.546501, -0.146429)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
,,,35/18,,530144,184013,-0.124773,51.540024,Plotted By Council Officer,"(51.540024, -0.124773)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:28 PM
HARLEY ROAD,SWISS COTTAGE,NW3,35/18,60,527043,183993,-0.169471,51.54055,Plotted By Council Officer,"(51.54055, -0.169471)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
FAWLEY ROAD,WEST HAMPSTEAD,NW6,35/18,60,525566,185024,-0.190389,51.550146,Plotted By Council Officer,"(51.550146, -0.190389)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
HIGHGATE WEST HILL,HIGHGATE,N6,35/18,90,528284,187368,-0.150356,51.5706,Plotted By Council Officer,"(51.5706, -0.150356)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
ETON AVENUE,BELSIZE,NW3,70/35,150,526726,184380,-0.1739,51.544099,Plotted By Council Officer,"(51.544099, -0.1739)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
BLACKBURN ROAD,WEST HAMPSTEAD,NW6,35/18,21,525653,184696,-0.189252,51.547178,Plotted By Council Officer,"(51.547178, -0.189252)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
ORNAN ROAD,BELSIZE,NW3,35/18,60,527023,185095,-0.169361,51.550458,Plotted By Council Officer,"(51.550458, -0.169361)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
POND SQUARE,HIGHGATE,N6,70/35,100,528408,187375,-0.148565,51.570635,Plotted By Council Officer,"(51.570635, -0.148565)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
BROXWOOD WAY,SWISS COTTAGE,NW8,35/18,61,527456,183572,-0.163671,51.536673,Plotted By Council Officer,"(51.536673, -0.163671)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
PLATT'S LANE,FROGNAL AND FITZJOHNS,NW3,35/18,90,525502,186305,-0.190855,51.561672,Plotted By Council Officer,"(51.561672, -0.190855)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
ADELAIDE ROAD,HAVERSTOCK,NW3,35/18,90,526934,184195,-0.170969,51.54239,Plotted By Council Officer,"(51.54239, -0.170969)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
CLEVELAND STREET,BLOOMSBURY,W1,35/18,90,529152,181920,-0.139837,51.521442,Plotted By Council Officer,"(51.521442, -0.139837)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
DRURY LANE,HOLBORN AND COVENT GARDEN,WC2,35/18,90,530356,181235,-0.122746,51.515009,Plotted By Council Officer,"(51.515009, -0.122746)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
FLAXMAN TERRACE,KING'S CROSS,WC1,35/18,90,529918,182567,-0.128563,51.527081,Plotted By Council Officer,"(51.527081, -0.128563)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
KINGSGATE ROAD,KILBURN,NW6,35/18,61,525180,184311,-0.196207,51.543823,Plotted By Council Officer,"(51.543823, -0.196207)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
COMPAYNE GARDENS,SWISS COTTAGE,NW6,35/18,60,525846,184459,-0.186555,51.545006,Plotted By Council Officer,"(51.545006, -0.186555)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
BARTHOLOMEW ROAD,CANTELOWES,NW5,35/18,90,529376,184652,-0.135606,51.545943,Plotted By Council Officer,"(51.545943, -0.135606)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
GOLDHURST TERRACE,SWISS COTTAGE,NW6,35/18,60,525770,184054,-0.187795,51.541383,Plotted By Council Officer,"(51.541383, -0.187795)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
RANULF ROAD,FORTUNE GREEN,NW2,35/18,60,525030,185840,-0.197826,51.557598,Plotted By Council Officer,"(51.557598, -0.197826)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
ARKWRIGHT ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,90,526044,185125,-0.183463,51.550947,Plotted By Council Officer,"(51.550947, -0.183463)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GAISFORD STREET,CANTELOWES,NW5,35/18,90,529326,184840,-0.136258,51.547644,Plotted By Council Officer,"(51.547644, -0.136258)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
BEDFORD AVENUE,BLOOMSBURY,WC1,35/18,60,529913,181598,-0.128993,51.518374,Plotted By Council Officer,"(51.518374, -0.128993)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
LAWN ROAD,GOSPEL OAK,NW3,35/18,60,527552,185224,-0.161689,51.551498,Plotted By Council Officer,"(51.551498, -0.161689)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
ST PANCRAS WAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529394,184174,-0.135523,51.541643,Plotted By Council Officer,"(51.541643, -0.135523)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
MORNINGTON CRESCENT,REGENT'S PARK,NW1,35/18,90,529095,183204,-0.140187,51.532994,Plotted By Council Officer,"(51.532994, -0.140187)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
GOODS WAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,530010,183353,-0.126948,51.534123,Plotted By Council Officer,"(51.534123, -0.126948)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
LADY SOMERSET ROAD,KENTISH TOWN,NW5,35/18,90,529023,185688,-0.140314,51.555334,Plotted By Council Officer,"(51.555334, -0.140314)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
LAMBOLLE PLACE,BELSIZE,NW3,35/18,60,527347,184679,-0.164841,51.546646,Plotted By Council Officer,"(51.546646, -0.164841)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
LYNDHURST TERRACE,HAMPSTEAD TOWN,NW3,35/18,61,526675,185282,-0.17431,51.552217,Plotted By Council Officer,"(51.552217, -0.17431)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
ARCTIC STREET,GOSPEL OAK,NW5,35/18,60,528522,185143,-0.147736,51.55055,Plotted By Council Officer,"(51.55055, -0.147736)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
LONGFORD STREET,REGENT'S PARK,NW1,35/18,90,528874,182379,-0.143673,51.52563,Plotted By Council Officer,"(51.52563, -0.143673)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
LYMINGTON ROAD,WEST HAMPSTEAD,NW6,70/35,65,525582,184921,-0.190195,51.549216,Plotted By Council Officer,"(51.549216, -0.190195)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
FROGNAL,FROGNAL AND FITZJOHNS,NW3,35/18,60,526268,185093,-0.180245,51.550609,Plotted By Council Officer,"(51.550609, -0.180245)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
OAK HILL PARK,FROGNAL AND FITZJOHNS,NW3,35/18,61,526025,185737,-0.183518,51.556451,Plotted By Council Officer,"(51.556451, -0.183518)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
TAVISTOCK SQUARE,BLOOMSBURY,WC1,35/18,60,529832,182338,-0.129887,51.525043,Plotted By Council Officer,"(51.525043, -0.129887)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
NORTH GOWER STREET,REGENT'S PARK,NW1,35/18,90,529332,182485,-0.137036,51.526478,Plotted By Council Officer,"(51.526478, -0.137036)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
MAPLE STREET,BLOOMSBURY,W1,35/18,90,529181,181959,-0.139404,51.521786,Plotted By Council Officer,"(51.521786, -0.139404)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
PRINCE OF WALES ROAD,HAVERSTOCK,NW5,35/18,159,528284,184627,-0.151355,51.545967,Plotted By Council Officer,"(51.545967, -0.151355)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
GREAT TURNSTILE,HOLBORN AND COVENT GARDEN,WC1,70/35,70,530840,181546,-0.115659,51.517693,Plotted By Council Officer,"(51.517693, -0.115659)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
KINGDON ROAD,WEST HAMPSTEAD,NW6,35/18,61,525369,184917,-0.193267,51.549228,Plotted By Council Officer,"(51.549228, -0.193267)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
LAWN ROAD,GOSPEL OAK,NW3,35/18,60,527538,185393,-0.16183,51.55302,Plotted By Council Officer,"(51.55302, -0.16183)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
HOLMES ROAD,KENTISH TOWN,NW5,35/18,96,528853,185049,-0.142999,51.54963,Plotted By Council Officer,"(51.54963, -0.142999)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
FELLOWS ROAD,BELSIZE,NW3,35/18,60,527452,184437,-0.163416,51.544448,Plotted By Council Officer,"(51.544448, -0.163416)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
BAYHAM STREET,CAMDEN TOWN,NW1,35/18,90,529177,183576,-0.138869,51.536318,Plotted By Council Officer,"(51.536318, -0.138869)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
HAVERSTOCK HILL,HAVERSTOCK,NW3,35/18,90,527509,184944,-0.16241,51.548991,Plotted By Council Officer,"(51.548991, -0.16241)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
KING HENRY'S ROAD,SWISS COTTAGE,NW3,35/18,90,527659,184219,-0.160511,51.542442,Plotted By Council Officer,"(51.542442, -0.160511)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
CROWNDALE ROAD,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529514,183491,-0.134044,51.535477,Plotted By Council Officer,"(51.535477, -0.134044)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:27 PM
PILGRIM'S LANE,HAMPSTEAD TOWN,NW3,35/18,60,526814,185608,-0.172189,51.555115,Plotted By Council Officer,"(51.555115, -0.172189)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
MALDEN ROAD,HAVERSTOCK,NW5,35/18,90,528148,185022,-0.153171,51.549548,Plotted By Council Officer,"(51.549548, -0.153171)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
LITTLE RUSSELL STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530216,181577,-0.124636,51.518115,Plotted By Council Officer,"(51.518115, -0.124636)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
BELSIZE GROVE,BELSIZE,NW3,35/18,61,527358,184857,-0.164618,51.548244,Plotted By Council Officer,"(51.548244, -0.164618)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
FITZROY SQUARE,BLOOMSBURY,W1,70/35,125,529133,182040,-0.140066,51.522525,Plotted By Council Officer,"(51.522525, -0.140066)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
MAITLAND PARK ROAD,HAVERSTOCK,NW3,35/18,90,527980,184942,-0.155622,51.548867,Plotted By Council Officer,"(51.548867, -0.155622)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
LAMBOLLE ROAD,BELSIZE,NW3,35/18,60,527246,184649,-0.166308,51.546399,Plotted By Council Officer,"(51.546399, -0.166308)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
ST PANCRAS WAY,ST PANCRAS AND SOMERS TOWN,NW1,35/18,90,529286,184271,-0.137043,51.542539,Plotted By Council Officer,"(51.542539, -0.137043)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
MARY TERRACE,REGENT'S PARK,NW1,35/18,21,529011,183591,-0.141256,51.536491,Plotted By Council Officer,"(51.536491, -0.141256)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
BEDFORD PLACE,BLOOMSBURY,WC1,35/18,60,530274,181767,-0.12373,51.519809,Plotted By Council Officer,"(51.519809, -0.12373)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:24 PM
REDINGTON ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,60,525971,185688,-0.184314,51.556023,Plotted By Council Officer,"(51.556023, -0.184314)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
ORIEL PLACE,HAMPSTEAD TOWN,NW3,35/18,125,526408,185699,-0.17801,51.556024,Plotted By Council Officer,"(51.556024, -0.17801)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
WINSCOMBE STREET,HIGHGATE,N19,35/18,60,528869,186564,-0.142214,51.563241,Plotted By Council Officer,"(51.563241, -0.142214)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
ARDWICK ROAD,FORTUNE GREEN,NW2,35/18,45,525117,185848,-0.196569,51.557651,Plotted By Council Officer,"(51.557651, -0.196569)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:08 PM
COMPAYNE GARDENS,SWISS COTTAGE,NW6,35/18,60,525517,184475,-0.191291,51.545223,Plotted By Council Officer,"(51.545223, -0.191291)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
BLACK PATH,WEST HAMPSTEAD,NW6,35/18,21,525127,184898,-0.196762,51.549111,Plotted By Council Officer,"(51.549111, -0.196762)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
CROSSFIELD ROAD,BELSIZE,NW3,35/18,60,526894,184563,-0.171413,51.545706,Plotted By Council Officer,"(51.545706, -0.171413)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
ALBANY STREET,REGENT'S PARK,NW1,35/18,140,528752,183009,-0.145201,51.53132,Plotted By Council Officer,"(51.53132, -0.145201)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
WEST HEATH ROAD,HAMPSTEAD TOWN,NW3,35/18,90,526110,186305,-0.182089,51.561537,Plotted By Council Officer,"(51.561537, -0.182089)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
KINGSGATE ROAD,KILBURN,NW6,35/18,61,525160,184356,-0.196479,51.544232,Plotted By Council Officer,"(51.544232, -0.196479)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GREVILLE ROAD,KILBURN,NW6,70/35,50,525592,183497,-0.190559,51.536416,Plotted By Council Officer,"(51.536416, -0.190559)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
GLOUCESTER AVENUE,CAMDEN TOWN,NW1,35/18,104,528111,184140,-0.154025,51.54163,Plotted By Council Officer,"(51.54163, -0.154025)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:19 PM
GRANNY DRIPPING STEPS (FOOTBRIDGE BETWEEN BROADURST GARDENS AND BLACKBURN ROAD),WEST HAMPSTEAD,NW6,70/35,70,525692,184649,-0.188707,51.546747,Plotted By Council Officer,"(51.546747, -0.188707)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
CALTHORPE STREET,KING'S CROSS,WC1,35/18,90,530863,182327,-0.115038,51.524706,Plotted By Council Officer,"(51.524706, -0.115038)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
FLEET ROAD,GOSPEL OAK,NW3,35/18,65,527500,185462,-0.162352,51.553649,Plotted By Council Officer,"(51.553649, -0.162352)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
HUNTLEY STREET,BLOOMSBURY,WC1,35/18,90,529632,181913,-0.132924,51.521269,Plotted By Council Officer,"(51.521269, -0.132924)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
WEST END LANE,WEST HAMPSTEAD,NW6,35/18,90,525501,185037,-0.191322,51.550277,Plotted By Council Officer,"(51.550277, -0.191322)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
MESSINA AVENUE,KILBURN,NW6,35/18,61,525241,184229,-0.195357,51.543073,Plotted By Council Officer,"(51.543073, -0.195357)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
CHESTER ROAD,HIGHGATE,N19,35/18,90,528728,186651,-0.144215,51.564055,Plotted By Council Officer,"(51.564055, -0.144215)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:21 PM
HIGH HOLBORN,HOLBORN AND COVENT GARDEN,"EC1, WC1",35/18,90,530409,181509,-0.121881,51.51746,Plotted By Council Officer,"(51.51746, -0.121881)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:25 PM
PRIORY ROAD,SWISS COTTAGE,NW6,35/18,90,525650,184089,-0.189512,51.541724,Plotted By Council Officer,"(51.541724, -0.189512)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
SARRE ROAD,FORTUNE GREEN,NW2,35/18,60,524672,185339,-0.203165,51.553175,Plotted By Council Officer,"(51.553175, -0.203165)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
HUNTLEY STREET,BLOOMSBURY,WC1,35/18,90,529519,182071,-0.134494,51.522715,Plotted By Council Officer,"(51.522715, -0.134494)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
PRIORY ROAD,SWISS COTTAGE,NW6,35/18,90,525593,183758,-0.190452,51.538762,Plotted By Council Officer,"(51.538762, -0.190452)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:10 PM
HATTON GARDEN,HOLBORN AND COVENT GARDEN,EC1,35/18,90,531384,181650,-0.107784,51.518501,Plotted By Council Officer,"(51.518501, -0.107784)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
MALET STREET,BLOOMSBURY,WC1,35/18,90,529851,181902,-0.129774,51.52112,Plotted By Council Officer,"(51.52112, -0.129774)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
POND STREET,HAMPSTEAD TOWN,NW3,35/18,90,527091,185428,-0.168261,51.553435,Plotted By Council Officer,"(51.553435, -0.168261)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:13 PM
BELMONT STREET,HAVERSTOCK,NW1,35/18,21,528288,184418,-0.151373,51.544088,Plotted By Council Officer,"(51.544088, -0.151373)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
DORRINGTON STREET,HOLBORN AND COVENT GARDEN,EC1,35/18,60,531210,181772,-0.110245,51.519638,Plotted By Council Officer,"(51.519638, -0.110245)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
TOTTENHAM COURT ROAD,BLOOMSBURY,W1,70/35,250,529290,182275,-0.137718,51.524601,Plotted By Council Officer,"(51.524601, -0.137718)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
THE GROVE,HIGHGATE,N6,70/35,100,528197,187300,-0.151635,51.570008,Plotted By Council Officer,"(51.570008, -0.151635)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
SWAIN'S LANE,HIGHGATE,N6,35/18,45,528567,186861,-0.14646,51.565979,Plotted By Council Officer,"(51.565979, -0.14646)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:16 PM
STEPHEN STREET,BLOOMSBURY,W1,35/18,60,529652,181508,-0.132785,51.517625,Plotted By Council Officer,"(51.517625, -0.132785)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:23 PM
CASTLEHAVEN ROAD,CAMDEN TOWN,NW1,35/18,95,528800,184488,-0.143968,51.5446,Plotted By Council Officer,"(51.5446, -0.143968)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
PRINCETON STREET,HOLBORN AND COVENT GARDEN,WC1,35/18,60,530689,181750,-0.117758,51.519561,Plotted By Council Officer,"(51.519561, -0.117758)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
RHYL STREET,HAVERSTOCK,NW5,35/18,60,528347,184833,-0.150372,51.547804,Plotted By Council Officer,"(51.547804, -0.150372)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
BROADHURST GARDENS,SWISS COTTAGE,NW6,35/18,96,526110,184680,-0.182671,51.546933,Plotted By Council Officer,"(51.546933, -0.182671)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:09 PM
HATTON GARDEN,HOLBORN AND COVENT GARDEN,EC1,35/18,90,531289,181999,-0.109023,51.52166,Plotted By Council Officer,"(51.52166, -0.109023)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:26 PM
BUCK STREET,CAMDEN TOWN,NW1,70/35,100,528899,184019,-0.142713,51.540363,Plotted By Council Officer,"(51.540363, -0.142713)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:17 PM
ELSWORTHY ROAD,SWISS COTTAGE,NW3,35/18,60,527321,184056,-0.165441,51.541053,Plotted By Council Officer,"(51.541053, -0.165441)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:14 PM
GLENLOCH ROAD,BELSIZE,NW3,35/18,60,527207,184978,-0.166751,51.549365,Plotted By Council Officer,"(51.549365, -0.166751)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:15 PM
GRAFTON ROAD,GOSPEL OAK,NW5,35/18,90,528309,185313,-0.150744,51.552126,Plotted By Council Officer,"(51.552126, -0.150744)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:18 PM
MARESFIELD GARDENS,FROGNAL AND FITZJOHNS,NW3,35/18,60,526445,184900,-0.177763,51.548835,Plotted By Council Officer,"(51.548835, -0.177763)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:11 PM
PRINCE OF WALES ROAD,HAVERSTOCK,NW5,35/18,159,527989,184601,-0.155616,51.5458,Plotted By Council Officer,"(51.5458, -0.155616)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:20 PM
REDINGTON ROAD,FROGNAL AND FITZJOHNS,NW3,35/18,60,525609,186075,-0.189395,51.559581,Plotted By Council Officer,"(51.559581, -0.189395)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:12 PM
MIDLAND ROAD,ST PANCRAS AND SOMERS TOWN,NW1,35/18,150,530010,182997,-0.127079,51.530924,Plotted By Council Officer,"(51.530924, -0.127079)",http://opendatacommunities.org/id/london-borough-council/camden,23/08/2018 09:00:22 PM
